"source","DOI","Authors","Year","Species","Life Stage","In vitro/in vivo","Sex","Experiment Type","Exposure Route","Particle Mix?","Negative Control","Reference Particle","Exposure Media","Solvent","Detergent","pH","Salinity (ppt)","Temperature (Avg)","Temperature (Min)","Temperature (Max)","Exposure Duration (days)","Number of Doses","Replicates","Sample Size","Dosing Frequency","Nominal Chemical Added","Nominal Chemical Added Dose","Nominal Chemical Added Dose Units","Measured Chemical Added","Measured Chemical Added Dose","Measured Chemical Added Dose Units","Selected Dose","Effect","Direction","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Level of Biological Organization","Target Organelle, Cell, or Tissue","Polymer","Shape","Density (g/cm^3)","Density, reported or estimated","Charge","Zeta Potential (mV)","Zeta Potential Media","Functional Group","Particle Length (μm)","Size Category","Particle Volume (μm^3)","Particle Mass (mg)","Weathered or Biofouled?","Size Validated?","Polymer Validated?","Shape Validated","Particle Source","Sodium Azide Present?","Screened for Chemical Contamination?","Particle Cleaning?","Solvent Rinse","Background Contamination Monitored?","Concentration Validated?","Particle Behavior","Uptake Validated?","Tissue Distribution","Organisms Fed?"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T3 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Decrease","Endocrine Signaling","Thyroid","Free T4 Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Increase","Endocrine Signaling","Thyroid","T3/T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T3/T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T3/T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","T3/T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","Free T3/Free T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","Free T3/Free T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","Free T3/Free T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Increase","Endocrine Signaling","Thyroid","Free T3/Free T4 Ratio","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","TSH Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","TSH Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Endocrine Signaling","Thyroid","TSH Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Increase","Endocrine Signaling","Thyroid","TSH Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Increase","Metabolism","Lipid Metabolism","Cholesterol Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Increase","Metabolism","Lipid Metabolism","Cholesterol Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Increase","Metabolism","Lipid Metabolism","Cholesterol Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"Yes","Increase","Metabolism","Lipid Metabolism","Cholesterol Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Metabolism","Amino Acid Metabolism","Creatine Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Metabolism","Amino Acid Metabolism","Creatine Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
"search","10.1039/c9tx00147f","Amereh",2019,"(Rat) Rattus norvegicus","Adult","In Vivo","M","Particle Only","Gavage","no","yes","no","distilled water","not_reported","not_reported","6.9",NA,NA,"20","22",35,4,"1","6",7,"not_applicable",NA,NA,NA,NA,NA,NA,"No",NA,"Metabolism","Amino Acid Metabolism","Creatine Concentration","Subcell","serum","Polystyrene","Sphere",1.07,"estimated","negative","-9.27","distilled.water","not_reported",0.03892,"1nm < 100nm",3.09e-5,3.3e-14,"no","Y","N","N","commercial","no","N","not_cleaned","none","N","N","not_evaluated","No",NA,"Y"
